Number of panels;Panel area m2;Category;Air temperature;Clear sky DHI;Clear sky DNI;Clear sky GHI;Clear sky GTI;DHI;DNI;GHI;GTI;Cloud opacity;Season;Snow soiling ground;Snow soiling rooftop
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;20.0;100;234.1042943069276;344.4763648752605;445.66501069147347;100;184.1042943069276;294.4763648752605;395.66501069147347;0;Summer;0;0
20;34.0;családi ház;20.0;100;160.80946047163616;339.687173099339;274.9598361300641;100;110.80946047163616;289.687173099339;224.9598361300641;0;Summer;0;0
20;34.0;családi ház;20.0;100;237.22326546405262;153.26399106218204;174.39502616986195;100;187.22326546405262;103.26399106218204;124.39502616986195;0;Summer;0;0
20;34.0;családi ház;20.0;100;117.66577160210478;214.79713820286452;184.46528256384966;100;67.66577160210478;164.79713820286452;134.46528256384966;0;Summer;0;0
20;34.0;családi ház;30.0;100;937.1887174548076;942.8368259432033;946.2611745906205;100;887.1887174548076;892.8368259432033;896.2611745906205;0;Summer;0;0
20;34.0;családi ház;30.0;100;920.6207591170694;871.3341541627775;965.1641878289499;100;870.6207591170694;821.3341541627775;915.1641878289499;0;Summer;0;0
20;34.0;családi ház;30.0;100;879.2541441103982;925.1232229629923;875.399933343987;100;829.2541441103982;875.1232229629923;825.399933343987;0;Summer;0;0
20;34.0;családi ház;30.0;100;826.8719788041193;864.7492214112642;873.7692369193397;100;776.8719788041193;814.7492214112642;823.7692369193397;0;Summer;0;0
20;34.0;családi ház;30.0;100;945.1035132008924;931.5846597262466;945.0214611678466;100;895.1035132008924;881.5846597262466;895.0214611678466;0;Summer;0;0
20;34.0;családi ház;30.0;100;937.2769111862734;863.6244368199674;968.5365881980206;100;887.2769111862734;813.6244368199674;918.5365881980206;0;Summer;0;0
20;34.0;családi ház;20.0;100;137.11412775302645;433.63645532843583;437.9101481293984;100;87.11412775302645;383.63645532843583;387.9101481293984;0;Summer;0;0
20;34.0;családi ház;20.0;100;223.98250651869603;278.0949208974441;208.21473412825955;100;173.98250651869603;228.09492089744415;158.21473412825955;0;Summer;0;0
20;34.0;családi ház;20.0;100;132.31804275253953;316.47135838542283;321.02600792893486;100;82.31804275253953;266.47135838542283;271.02600792893486;0;Summer;0;0
20;34.0;családi ház;20.0;100;206.70660930685438;340.12999385469607;435.8422237435234;100;156.70660930685438;290.12999385469607;385.8422237435234;0;Summer;0;0
20;34.0;családi ház;20.0;100;166.2174067188947;403.1348294679191;234.58100048283535;100;116.2174067188947;353.1348294679191;184.58100048283535;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;15.0;0;0.0;0.0;0.0;0;0.0;0.0;0.0;0;Summer;0;0
20;34.0;családi ház;20.0;100;101.7945891170342;394.7082492153869;302.35778880834243;100;51.7945891170342;344.7082492153869;252.35778880834246;0;Summer;0;0
20;34.0;családi ház;20.0;100;106.97484090758056;288.9271603579765;387.7288888065077;100;56.97484090758055;238.92716035797648;337.7288888065077;0;Summer;0;0
20;34.0;családi ház;20.0;100;273.2723700802511;301.18508601740024;436.9722730774125;100;223.27237008025114;251.18508601740024;386.9722730774125;0;Summer;0;0
20;34.0;családi ház;20.0;100;230.4008089925072;347.42543013451825;217.85545598467704;100;180.4008089925072;297.42543013451825;167.85545598467704;0;Summer;0;0
20;34.0;családi ház;30.0;100;894.6229506000926;882.268341119672;921.0708144122345;100;844.6229506000926;832.268341119672;871.0708144122345;0;Summer;0;0
20;34.0;családi ház;30.0;100;860.0896213536798;905.7378739306929;941.0397722695858;100;810.0896213536798;855.7378739306929;891.0397722695858;0;Summer;0;0
20;34.0;családi ház;30.0;100;830.2239328235258;890.5652473863108;922.1786214303846;100;780.2239328235258;840.5652473863108;872.1786214303846;0;Summer;0;0
